invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-35544200027,4/2/2021,5005,Laurens Food Pride,410 W Main St,Laurens,50554,POINT (-94.853219 42.846725),76,POCAHONTAS,1011100,Blended Whiskies,65,Jim Beam Brands,22786,Beams 8 Star Bl Whiskey,12,750,4,6,3,18,2.25,0.59
INV-37088900002,6/2/2021,4912,Casey's General Store #2531 / Eldridge,"840, E Le Claire Rd",Eldridge,52748,POINT (-90.572547 41.654692),82,SCOTT,1031100,American Vodkas,626,JDSO INC / Red Boot Distillery,36873,Blue Ox Vodka,12,750,3.38,5.07,12,60,9,2.37
INV-36595700281,5/13/2021,4988,Happy's Wine & Spirits,5925 University Ave,Cedar Falls,50613,POINT (-92.429331 42.512766),7,BLACK HAWK,1011200,Straight Bourbon Whiskies,260,DIAGEO AMERICAS,17090,Bulleit Bourbon 10YR,12,750,23.5,35.25,2,70.5,1.5,0.39
INV-34570200026,2/25/2021,4021,Wal-Mart 0985 / Fairfield,2701 W Burlington Ave,Fairfield,52556,POINT (-91.993721 41.006375),51,JEFFERSON,1012400,Irish Whiskies,370,PERNOD RICARD USA,15667,Jameson Black Barrel,12,750,21.48,32.22,12,386.64,9,2.37
INV-39411600075,8/20/2021,2602,Hy-Vee Food Store / Webster City,823  2nd St,Webster City,50595,POINT (-93.825486 42.469466),40,HAMILTON,1031100,American Vodkas,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,12,129.12,21,5.54
INV-39155100078,8/12/2021,2587,Hy-Vee Food Store / Johnston,5750 Merle Hay Road,Johnston,50131,POINT (-93.697731 41.665172),77,POLK,1081600,Whiskey Liqueur,421,SAZERAC COMPANY  INC,64870,Fireball Cinnamon Whiskey,48,100,0.9,1.35,96,129.6,9.6,2.53
INV-42204500010,11/19/2021,5868,Brothers Market / Bloomfield,207 E Locust St,Bloomfield,52537,,26,DAVIS,1032100,Imported Vodkas,260,DIAGEO AMERICAS,34456,Ketel One,12,750,11.33,17,2,34,1.5,0.39
INV-41531100126,11/1/2021,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1062200,White Rum,434,LUXCO INC,46350,Hawkeye Light Rum,6,1750,7.67,11.51,2,23.02,3.5,0.92
INV-37107400135,6/2/2021,2623,Hy-Vee Food Store #4 / Sioux City,2827 Hamilton Blvd,Sioux City,51104,POINT (-96.417783 42.519886),97,WOODBURY,1011100,Blended Whiskies,35,BACARDI USA INC,27380,Angels Envy Rye,6,750,44.99,67.49,1,67.49,0.75,0.19
INV-34334200010,2/16/2021,2672,Hy-Vee / Winterset,923 N  1st St,Winterset,50273,POINT (-94.013482 41.342665),61,MADISON,1012100,Canadian Whiskies,395,PROXIMO,14199,Pendleton Canadian Whisky,6,1750,25,37.5,6,225,10.5,2.77
INV-42233400028,11/22/2021,4638,GD Xpress / Davenport,4607 N Pine St,Davenport,52804,,82,SCOTT,1011100,Blended Whiskies,297,Laird & Company,23828,Five Star,6,1750,7.62,11.43,12,137.16,21,5.54
INV-35568700017,4/5/2021,5206,Brothers Market  /  Grundy Center,1400 G  Ave,Grundy Center,50638,POINT (-92.782283 42.36157),38,GRUNDY,1081400,American Schnapps,434,LUXCO INC,81207,Paramount Peppermint Schnapps,12,1000,4.28,6.42,2,12.84,2,0.52
INV-39654300020,8/30/2021,2678,Hy-Vee Fast & Fresh / Davenport,3200 E KIMBERLY RD.,Davenport,52807,POINT (-90.527278 41.553879),82,SCOTT,1022100,Mixto Tequila,395,PROXIMO,87408,Jose Cuervo Especial Silver,12,750,11.07,16.61,1,16.61,0.75,0.19
INV-41843100012,11/10/2021,4726,Walgreens #07454 / Ankeny,901 N Ankeny Blvd,Ankeny,50021,,77,POLK,1071100,Cocktails /RTD,395,PROXIMO,58838,Jose Cuervo Authentic Lime Margarita,6,1750,8.74,13.11,6,78.66,10.5,2.77
INV-33195200062,1/4/2021,2465,Sid's Beverage Shop,2727 Dodge St,Dubuque,52003,POINT (-90.705328 42.491862),31,DUBUQUE,1012200,Scotch Whiskies,240,William Grant & Sons Inc,5635,Monkey Shoulder,6,750,19,28.5,2,57,1.5,0.39
INV-37115000012,6/2/2021,5358,Kum & Go #1056/ Bevington,101 E IA Hwy 92,Bevington,50033,POINT (-93.790419 41.360431),91,WARREN,1031100,American Vodkas,434,LUXCO INC,36306,Hawkeye Vodka,12,750,3.34,5.01,6,30.06,4.5,1.18
INV-32889200019,12/21/2020,5236,"Giggle Juice Liquor Station, LLC",600 W Main St,Anamosa,52205,POINT (-91.29083400000002 42.108203),53,JONES,1081100,Coffee Liqueurs,65,Jim Beam Brands,67557,Kamora Coffee Liqueur,12,1000,8.39,12.59,12,151.08,12,3.17
INV-41939000102,11/12/2021,2649,Hy-Vee #3 / Dubuque,400 Locust St,Dubuque,52001,POINT (-90.666497 42.49721900000001),31,DUBUQUE,1081400,American Schnapps,434,LUXCO INC,81966,Arrow Mcdales Butterscotch Schnapps,12,750,4.74,7.11,2,14.22,1.5,0.39
INV-39794100127,9/3/2021,2506,Hy-Vee #1044 / Burlington,3140 Agency,Burlington,52601,POINT (-91.136655 40.814666),29,DES MOINES,1081300,American Cordials & Liqueur,434,LUXCO INC,76488,Paramount Amaretto,6,1750,8.25,12.38,6,74.28,10.5,2.77
